prize_name,category_name
Maker Track,Creativity
Health Track,Creativity
Civic Track,Creativity
Fintech Track,Creativity
Best Hardware Hack,Creativity
Garverick Memorial Hack,Creativity
Best Game Hack,Creativity
Best Beginner Hack,Creativity
Maker Track,Practicality
Health Track,Practicality
Civic Track,Practicality
Fintech Track,Practicality
Best Hardware Hack,Practicality
Garverick Memorial Hack,Practicality
Best Game Hack,Practicality
Best Beginner Hack,Practicality
Maker Track,Technical Depth
Health Track,Technical Depth
Civic Track,Technical Depth
Fintech Track,Technical Depth
Best Hardware Hack,Technical Depth
Garverick Memorial Hack,Technical Depth
Best Game Hack,Technical Depth
Best Beginner Hack,Technical Depth
Maker Track,Polish
Health Track,Polish
Civic Track,Polish
Fintech Track,Polish
Best Hardware Hack,Polish
Garverick Memorial Hack,Polish
Best Game Hack,Polish
Best Beginner Hack,Polish
Most Aesthetic Hack,Design
Most Aesthetic Hack,Execution
