,judge_id,project_id,prize_name,category_name,score
0,21,29,Most Aesthetic Hack,Design,7.5
1,21,29,Most Aesthetic Hack,Execution,7.5
2,21,26,Most Aesthetic Hack,Design,7.0
3,21,26,Most Aesthetic Hack,Execution,7.0
4,21,24,Most Aesthetic Hack,Design,5.0
5,21,24,Most Aesthetic Hack,Execution,5.0
6,21,23,Most Aesthetic Hack,Design,0.0
7,21,23,Most Aesthetic Hack,Execution,0.0
8,21,22,Most Aesthetic Hack,Design,3.0
9,21,22,Most Aesthetic Hack,Execution,3.0
10,21,20,Most Aesthetic Hack,Design,5.0
11,21,20,Most Aesthetic Hack,Execution,5.0
12,21,18,Most Aesthetic Hack,Design,5.0
13,21,18,Most Aesthetic Hack,Execution,5.0
14,21,16,Most Aesthetic Hack,Design,6.0
15,21,16,Most Aesthetic Hack,Execution,6.0
16,21,15,Most Aesthetic Hack,Design,6.5
17,21,15,Most Aesthetic Hack,Execution,6.5
18,21,10,Most Aesthetic Hack,Design,
19,21,10,Most Aesthetic Hack,Execution,
20,21,6,Most Aesthetic Hack,Design,6.5
21,21,6,Most Aesthetic Hack,Execution,6.5
22,21,3,Most Aesthetic Hack,Design,
23,21,3,Most Aesthetic Hack,Execution,
24,21,2,Most Aesthetic Hack,Design,8.0
25,21,2,Most Aesthetic Hack,Execution,8.0
26,21,1,Most Aesthetic Hack,Design,9.0
27,21,1,Most Aesthetic Hack,Execution,9.0
28,21,32,Most Aesthetic Hack,Design,6.0
29,21,32,Most Aesthetic Hack,Execution,6.0
30,21,8,Most Aesthetic Hack,Design,5.5
31,21,8,Most Aesthetic Hack,Execution,5.5
32,6,29,Most Aesthetic Hack,Design,4.5
33,6,29,Most Aesthetic Hack,Execution,4.5
34,6,26,Most Aesthetic Hack,Design,5.0
35,6,26,Most Aesthetic Hack,Execution,5.0
36,6,24,Most Aesthetic Hack,Design,1.5
37,6,24,Most Aesthetic Hack,Execution,1.5
38,6,23,Most Aesthetic Hack,Design,0.0
39,6,23,Most Aesthetic Hack,Execution,0.0
40,6,22,Most Aesthetic Hack,Design,4.0
41,6,22,Most Aesthetic Hack,Execution,4.0
42,6,20,Most Aesthetic Hack,Design,3.0
43,6,20,Most Aesthetic Hack,Execution,3.0
44,6,18,Most Aesthetic Hack,Design,3.0
45,6,18,Most Aesthetic Hack,Execution,3.0
46,6,16,Most Aesthetic Hack,Design,3.0
47,6,16,Most Aesthetic Hack,Execution,3.0
48,6,15,Most Aesthetic Hack,Design,5.0
49,6,15,Most Aesthetic Hack,Execution,5.0
50,6,10,Most Aesthetic Hack,Design,4.0
51,6,10,Most Aesthetic Hack,Execution,4.0
52,6,6,Most Aesthetic Hack,Design,5.0
53,6,6,Most Aesthetic Hack,Execution,5.0
54,6,3,Most Aesthetic Hack,Design,5.0
55,6,3,Most Aesthetic Hack,Execution,5.0
