prize_name,sponsor,award,award_value
Maker Track,,Creality Ender 3,200
Health Track,,Fitbit Versa 2,200
Civic Track,,UE Boom 3,200
Fintech Track,,Oculus Go,200
Most Aesthetic Hack,,Chromecast Ultra,50
Best Hardware Hack,,Korin ClickPack Pro,150
Garverick Memorial Hack,,Galaxy Buds,100
Best Game Hack,,Logitech Gaming Mouse G502,50
Best Beginner Hack,,Raspberry PI 4,40
JPMorgan Chase Best Hack for Social Good,JPMorgan,Oculus Go,200
Rockwell Diversity in Engineering/IOT Technologies,Rockwell,something,50
MLH: Best Domain Registered with Domain.com,MLH,Domain.com backpacks,20
